City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
209,Antalaha,-14.9003,50.2788,74.07,93,100,6.04,MG,2022-03-11 23:14:02,light rain
210,Shingu,33.7333,135.9833,57.81,68,22,4.16,JP,2022-03-11 23:14:03,few clouds
211,Pozo Colorado,-23.4923,-58.7972,69.51,96,100,6.64,PY,2022-03-11 23:14:03,overcast clouds
212,Abu Dhabi,24.4667,54.3667,80.71,34,0,4.61,AE,2022-03-11 23:14:03,clear sky
213,Hamilton,39.1834,-84.5333,35.64,85,100,16.11,US,2022-03-11 23:14:04,mist
214,Port Augusta,-32.5,137.7667,75.36,24,33,6.08,AU,2022-03-11 23:14:04,scattered clouds
215,Queanbeyan,-35.35,149.2333,67.6,69,75,5.75,AU,2022-03-11 23:14:05,broken clouds
216,Maiduguri,11.8464,13.1603,76.62,22,39,8.59,NG,2022-03-11 23:14:05,scattered clouds
217,Brae,60.3964,-1.353,43.32,82,84,36.39,GB,2022-03-11 23:14:05,broken clouds
218,Gravenhurst,44.9168,-79.3663,27.55,97,100,5.35,CA,2022-03-11 23:14:06,snow
219,Aracaju,-10.9111,-37.0717,80.55,74,40,5.75,BR,2022-03-11 23:14:06,scattered clouds
220,Yakeshi,49.2833,120.7333,15.35,81,100,11.41,CN,2022-03-11 23:14:07,overcast clouds
221,Carnarvon,-24.8667,113.6333,75.27,88,2,6.91,AU,2022-03-11 23:11:07,clear sky
222,Half Moon Bay,37.4636,-122.4286,75.6,52,0,10.36,US,2022-03-11 23:14:07,clear sky
223,Chuy,-33.6971,-53.4616,63.34,66,57,10.2,UY,2022-03-11 23:15:08,broken clouds
224,Lerwick,60.1545,-1.1494,44.6,82,81,38.95,GB,2022-03-11 23:15:08,broken clouds
225,Olbia,40.9214,9.4856,46.45,81,0,2.3,IT,2022-03-11 23:15:08,clear sky
226,Naze,28.3667,129.4833,60.58,62,0,6.76,JP,2022-03-11 23:15:09,clear sky
